      8040 <= x < 8070; y =  4886.0000 +    -0.6000x; interpolation
      8070 <= x < 8100; y = -4494.0000 +     0.5667x; interpolation
      8100 <= x < 8130; y =  4114.0000 +    -0.5000x; interpolation
      8130 <= x < 8160; y =    64.0000 +     0.0000x; interpolation
      8160 <= x < 8190; y =   335.0000 +    -0.0333x; interpolation
      8190 <= x < 8220; y = -3201.0000 +     0.4000x; interpolation
      8220 <= x < 8250; y = -1563.0000 +     0.2000x; interpolation
      8250 <= x < 8280; y =  4739.0000 +    -0.5667x; interpolation
      8280 <= x < 8310; y = -4336.0000 +     0.5333x; interpolation
      8310 <= x < 8340; y =  4496.0000 +    -0.5333x; interpolation
      8340 <= x < 8370; y = -4368.0000 +     0.5333x; interpolation
      8370 <= x < 8400; y =   358.0000 +    -0.0333x; interpolation
      8400 <= x < 8430; y =  4822.0000 +    -0.5667x; interpolation
      8430 <= x < 8460; y = -5258.0000 +     0.6333x; interpolation
      8460 <= x < 8490; y =  2048.0000 +    -0.2333x; interpolation
      8490 <= x < 8520; y =  -208.0000 +     0.0333x; interpolation
      8520 <= x < 8550; y =  3471.0000 +    -0.4000x; interpolation
      8550 <= x < 8580; y = -5049.0000 +     0.6000x; interpolation
      8580 <= x < 8610; y =  5496.0000 +    -0.6333x; interpolation
      8610 <= x < 8640; y = -5372.0000 +     0.6333x; interpolation
      8640 <= x < 8670; y =  4386.0000 +    -0.5000x; interpolation
      8670 <= x < 8700; y = -4830.0000 +     0.5667x; interpolation
      8700 <= x < 8730; y =  6152.0000 +    -0.7000x; interpolation
      8730 <= x < 8760; y = -5448.0000 +     0.6333x; interpolation
      8760 <= x < 8790; y =  6192.0000 +    -0.7000x; interpolation
      8790 <= x < 8820; y = -1108.0000 +     0.1333x; interpolation
      8820 <= x < 8850; y = -4331.0000 +     0.5000x; interpolation
      8850 <= x < 8880; y =  -509.0000 +     0.0667x; interpolation
      8880 <= x < 8910; y =    81.0000 +     0.0000x; interpolation
      8910 <= x < 8940; y =   377.0000 +    -0.0333x; interpolation
      8940 <= x < 8970; y =   377.0000 +    -0.0333x; interpolation
      8970 <= x < 9000; y =  4549.0000 +    -0.5000x; interpolation
      9000 <= x < 9030; y =  -235.0000 +     0.0333x; interpolation
      9030 <= x < 9060; y = -3835.0000 +     0.4333x; interpolation
      9060 <= x < 9090; y =  3690.0000 +    -0.4000x; interpolation
      9090 <= x < 9120; y = -3256.0000 +     0.3667x; interpolation
      9120 <= x < 9150; y =  3410.0000 +    -0.3667x; interpolation
      9150 <= x < 9180; y =  2194.0000 +    -0.2333x; interpolation
      9180 <= x < 9210; y =  7684.0000 +    -0.8333x; interpolation
      9210 <= x < 9240; y =  2176.0000 +    -0.2333x; interpolation
      9240 <= x < 9270; y = -11639.0000 +     1.2667x; interpolation
      9270 <= x < 9300; y = -4247.0000 +     0.4667x; interpolation
      9300 <= x < 9330; y =  4096.0000 +    -0.4333x; interpolation
      9330 <= x < 9360; y = -3344.0000 +     0.3667x; interpolation
      9360 <= x < 9390; y =  3498.0000 +    -0.3667x; interpolation
      9390 <= x < 9420; y = -4302.0000 +     0.4667x; interpolation
      9420 <= x < 9450; y =  2271.0000 +    -0.2333x; interpolation
      9450 <= x < 9480; y = -2125.0000 +     0.2333x; interpolation
      9480 <= x < 9510; y =  1655.0000 +    -0.1667x; interpolation
      9510 <= x < 9540; y =  4183.0000 +    -0.4333x; interpolation
      9540 <= x < 9570; y = -1840.0000 +     0.2000x; interpolation
      9570 <= x < 9600; y = -3430.0000 +     0.3667x; interpolation
      9600 <= x < 9630; y =  1674.0000 +    -0.1667x; interpolation
      9630 <= x < 9660; y = -2486.0000 +     0.2667x; interpolation
      9660 <= x < 9690; y =  2971.0000 +    -0.3000x; interpolation
      9690 <= x < 9720; y =  4259.0000 +    -0.4333x; interpolation
      9720 <= x < 9750; y = -6077.0000 +     0.6333x; interpolation
      9750 <= x < 9780; y =  5263.0000 +    -0.5333x; interpolation
      9780 <= x < 9810; y = -5462.0000 +     0.5667x; interpolation
      9810 <= x < 9840; y =   406.0000 +    -0.0333x; interpolation
      9840 <= x < 9870; y =  3676.0000 +    -0.3667x; interpolation
      9870 <= x < 9900; y = -3212.0000 +     0.3333x; interpolation
      9900 <= x < 9930; y =  1065.0000 +    -0.1000x; interpolation
      9930 <= x < 9960; y =  -915.0000 +     0.1000x; interpolation
      9960 <= x < 9990; y =  -915.0000 +     0.1000x; interpolation
      9990 <= x < 10020; y =   413.0000 +    -0.0333x; interpolation
     10020 <= x < 10050; y =  6407.0000 +    -0.6333x; interpolation
     10050 <= x < 10080; y = -5617.0000 +     0.5667x; interpolation
     10080 <= x < 10110; y =  5438.0000 +    -0.5333x; interpolation
     10110 <= x < 10140; y =  -274.0000 +     0.0333x; interpolation
     10140 <= x < 10170; y = -6340.0000 +     0.6333x; interpolation
     10170 <= x < 10200; y =  6166.0000 +    -0.6000x; interpolation
     10200 <= x < 10230; y = -5360.0000 +     0.5333x; interpolation
     10230 <= x < 10260; y =  5520.0000 +    -0.5333x; interpolation
     10260 <= x < 10290; y = -5051.0000 +     0.5000x; interpolation
     10290 <= x < 10320; y =  1789.0000 +    -0.1667x; interpolation
     10320 <= x < 10350; y = -1298.0000 +     0.1333x; interpolation
     10350 <= x < 10380; y =  5582.0000 +    -0.5333x; interpolation
     10380 <= x < 10410; y = -4078.0000 +     0.4000x; interpolation
     10410 <= x < 10440; y =  3534.0000 +    -0.3333x; interpolation
     10440 <= x < 10470; y = -5141.0000 +     0.5000x; interpolation
     10470 <= x < 10500; y =  5647.0000 +    -0.5333x; interpolation
     10500 <= x < 10530; y = -5521.0000 +     0.5333x; interpolation
     10530 <= x < 10560; y =   779.0000 +    -0.0667x; interpolation
     10560 <= x < 10590; y = -1327.0000 +     0.1333x; interpolation
     10590 <= x < 10620; y =   785.0000 +    -0.0667x; interpolation
     10620 <= x < 10650; y =  -274.0000 +     0.0333x; interpolation
     10650 <= x < 10680; y =  1142.0000 +    -0.1000x; interpolation
     10680 <= x < 10710; y =  5402.0000 +    -0.5000x; interpolation
     10710 <= x < 10740; y = -6702.0000 +     0.6333x; interpolation
     10740 <= x < 10770; y =  7578.0000 +    -0.7000x; interpolation
     10770 <= x < 10800; y = -7816.0000 +     0.7333x; interpolation
     10800 <= x < 10830; y =  8698.0000 +    -0.8000x; interpolation
     10830 <= x < 10860; y = -1742.0000 +     0.1667x; interpolation
     10860 <= x < 10890; y = -6074.0000 +     0.5667x; interpolation
     10890 <= x < 10920; y =   804.0000 +    -0.0667x; interpolation
     10920 <= x < 10950; y = -1011.0000 +     0.1000x; interpolation
     10950 <= x < 10980; y =  1173.0000 +    -0.1000x; interpolation
     10980 <= x < 11010; y = -1017.0000 +     0.1000x; interpolation
     11010 <= x < 11040; y =  7401.0000 +    -0.6667x; interpolation
     11040 <= x < 11070; y = -6912.0000 +     0.6333x; interpolation
     11070 <= x < 11100; y =  7072.0000 +    -0.6333x; interpolation
     11100 <= x < 11130; y = -7319.0000 +     0.6667x; interpolation
     11130 <= x < 11160; y =  6741.0000 +    -0.6000x; interpolation
     11160 <= x < 11190; y =  -308.0000 +     0.0333x; interpolation
     11190 <= x < 11220; y = -5888.0000 +     0.5333x; interpolation
     11220 <= x < 11250; y =  6048.0000 +    -0.5333x; interpolation
     11250 <= x < 11280; y = -5546.0000 +     0.5000x; interpolation
     11280 <= x < 11310; y =  5329.0000 +    -0.4667x; interpolation
     11310 <= x < 11340; y = -5199.0000 +     0.4667x; interpolation
     11340 <= x < 11370; y =  6111.0000 +    -0.5333x; interpolation
     11370 <= x < 11400; y = -5985.0000 +     0.5333x; interpolation
     11400 <= x < 11430; y =  1974.0000 +    -0.1667x; interpolation
     11430 <= x < 11460; y = 18694.0000 +    -1.6333x; interpolation
     11460 <= x < 11490; y = -12548.0000 +     1.1000x; interpolation
     11490 <= x < 11520; y =  -706.0000 +     0.0667x; interpolation
     11520 <= x < 11550; y = -7600.0000 +     0.6667x; interpolation
     11550 <= x < 11580; y =  7376.0000 +    -0.6333x; interpolation
     11580 <= x < 11610; y = -6869.0000 +     0.6000x; interpolation
     11610 <= x < 11640; y =  7413.0000 +    -0.6333x; interpolation
     11640 <= x < 11670; y = -7293.0000 +     0.6333x; interpolation
     11670 <= x < 11700; y =  6675.0000 +    -0.5667x; interpolation
     11700 <= x < 11730; y = -5384.0000 +     0.4667x; interpolation
     11730 <= x < 11760; y =  6316.0000 +    -0.5333x; interpolation
     11760 <= x < 11790; y = -7369.0000 +     0.6333x; interpolation
     11790 <= x < 11820; y =   863.0000 +    -0.0667x; interpolation
     11820 <= x < 11850; y =  4793.0000 +    -0.4000x; interpolation
     11850 <= x < 11880; y = -5451.0000 +     0.4667x; interpolation
     11880 <= x < 11910; y =  1264.0000 +    -0.1000x; interpolation
     11910 <= x < 11940; y = -2300.0000 +     0.2000x; interpolation
     11940 <= x < 11970; y =  2861.0000 +    -0.2333x; interpolation
     11970 <= x < 12000; y = -2711.0000 +     0.2333x; interpolation
     12000 <= x < 12030; y =   880.0000 +    -0.0667x; interpolation
     12030 <= x < 12060; y =  7280.0000 +    -0.6000x; interpolation
     12060 <= x < 12090; y = -7557.0000 +     0.6333x; interpolation
     12090 <= x < 12120; y = 12945.0000 +    -1.0667x; interpolation
     12120 <= x < 12150; y = -11235.0000 +     0.9333x; interpolation
     12150 <= x < 12180; y =  5733.0000 +    -0.4667x; interpolation
     12180 <= x < 12210; y = -6417.0000 +     0.5333x; interpolation
     12210 <= x < 12240; y =  6169.0000 +    -0.5000x; interpolation
     12240 <= x < 12270; y =    64.0000 +     0.0000x; interpolation
     12270 <= x < 12300; y = -6056.0000 +     0.5000x; interpolation
